rev_id	worker_id	toxicity	toxicity_score
527004.0	3802	0	0.0
527004.0	3942	0	0.0
527004.0	590	0	0.0
527004.0	481	0	0.0
527004.0	3944	0	0.0
527004.0	4172	0	0.0
527004.0	2419	0	0.0
527004.0	3323	0	0.0
527004.0	2851	0	0.0
527004.0	4175	0	0.0
603474.0	3278	0	0.0
603474.0	3437	0	0.0
603474.0	1839	0	0.0
603474.0	3499	0	0.0
603474.0	2531	0	0.0
603474.0	3577	0	0.0
603474.0	3925	0	0.0
603474.0	2534	0	0.0
603474.0	462	0	0.0
603474.0	2975	0	0.0
808576.0	809	0	0.0
808576.0	808	0	0.0
808576.0	807	0	0.0
808576.0	743	0	0.0
808576.0	749	0	0.0
808576.0	730	0	0.0
808576.0	724	0	0.0
808576.0	685	0	0.0
808576.0	164	0	0.0
808576.0	80	0	0.0
986363.0	1081	0	0.0
986363.0	1950	0	0.0
986363.0	1973	0	0.0
986363.0	1933	0	0.0
986363.0	1914	0	0.0
986363.0	1305	0	0.0
986363.0	1944	0	0.0
986363.0	942	0	0.0
986363.0	491	0	0.0
986363.0	237	0	0.0
1433843.0	2794	0	0.0
1433843.0	535	0	0.0
1433843.0	1254	0	0.0
1433843.0	1406	0	0.0
1433843.0	2827	0	0.0
1433843.0	2805	0	0.0
1433843.0	2783	0	0.0
1433843.0	1736	0	0.0
1433843.0	2795	0	0.0
1433843.0	2780	0	0.0
1988528.0	3374	0	0.0
1988528.0	3328	0	0.0
1988528.0	3311	0	0.0
1988528.0	2103	0	0.0
1988528.0	2274	0	0.0
1988528.0	2414	0	0.0
1988528.0	2798	0	0.0
1988528.0	2902	0	0.0
1988528.0	2957	0	0.0
1988988.0	1028	0	0.0
1988988.0	990	0	0.0
1988988.0	401	0	0.0
1988988.0	2024	0	0.0
1988988.0	1999	0	0.0
1988988.0	1850	0	0.0
1988988.0	1500	0	0.0
1988988.0	1109	0	0.0
1988988.0	2035	0	0.0
1988988.0	2034	0	0.0
2078042.0	2059	0	0.0
2078042.0	2023	0	0.0
2078042.0	2012	0	0.0
2078042.0	1595	0	0.0
2078042.0	1066	0	0.0
2078042.0	1109	0	0.0
2078042.0	1970	0	0.0
2078042.0	2141	0	0.0
2747887.0	1993	0	0.0
2747887.0	2786	0	0.0
2747887.0	2089	0	0.0
2747887.0	2017	0	0.0
2747887.0	1849	0	0.0
2747887.0	1461	0	0.0
2747887.0	1301	0	0.0
2747887.0	2810	0	0.0
2747887.0	743	0	0.0
2747887.0	63	0	0.0
2850252.0	561	0	0.0
2850252.0	479	0	0.0
2850252.0	238	0	0.0
2850252.0	925	0	0.0
2850252.0	1515	0	0.0
2850252.0	1000	0	0.0
